Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/09/2025,13,5,4,13:05:04,-15,Tahap-0
01/09/2025,13,5,4,13:05:04,-10,Tahap-0
01/09/2025,13,5,4,13:05:04,-15,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-13,Tahap-0
01/09/2025,13,5,4,13:05:04,-11,Tahap-0
01/09/2025,13,5,4,13:05:04,-15,Tahap-0
01/09/2025,13,5,4,13:05:04,-9,Tahap-0
01/09/2025,13,5,4,13:05:04,-17,Tahap-0
01/09/2025,13,5,4,13:05:04,-8,Tahap-0
01/09/2025,13,5,4,13:05:04,-13,Tahap-0
01/09/2025,13,5,4,13:05:04,-11,Tahap-0
01/09/2025,13,5,4,13:05:04,-18,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-13,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-15,Tahap-0
01/09/2025,13,5,4,13:05:04,-15,Tahap-0
01/09/2025,13,5,4,13:05:04,-15,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-13,Tahap-0
01/09/2025,13,5,4,13:05:04,-16,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-14,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-17,Tahap-0
01/09/2025,13,5,4,13:05:04,-12,Tahap-0
01/09/2025,13,5,4,13:05:04,-13,Tahap-0
01/09/2025,13,5,4,13:05:04,-16,Tahap-0
01/09/2025,13,5,5,13:05:05,-14,Tahap-0
01/09/2025,13,5,5,13:05:05,-20,Tahap-0
01/09/2025,13,5,5,13:05:05,-13,Tahap-0
01/09/2025,13,5,5,13:05:05,-17,Tahap-0
01/09/2025,13,5,5,13:05:05,-15,Tahap-0
01/09/2025,13,5,5,13:05:05,-18,Tahap-0
01/09/2025,13,5,5,13:05:05,-18,Tahap-0
01/09/2025,13,5,5,13:05:05,-17,Tahap-0
01/09/2025,13,5,30,13:05:30,2420,Tahap-0
01/09/2025,13,5,30,13:05:30,1370,Tahap-0
01/09/2025,13,5,30,13:05:30,1653,Tahap-0
01/09/2025,13,5,30,13:05:30,61,Tahap-0
01/09/2025,13,5,30,13:05:30,631,Tahap-0
01/09/2025,13,5,30,13:05:30,555,Tahap-0
01/09/2025,13,5,30,13:05:30,406,Tahap-0
01/09/2025,13,5,30,13:05:30,312,Tahap-0
01/09/2025,13,5,31,13:05:31,162,Tahap-0
01/09/2025,13,5,31,13:05:31,186,Tahap-0
01/09/2025,13,5,31,13:05:31,88,Tahap-0
01/09/2025,13,5,31,13:05:31,177,Tahap-0
01/09/2025,13,5,31,13:05:31,131,Tahap-0
01/09/2025,13,5,31,13:05:31,44,Tahap-0
01/09/2025,13,5,31,13:05:31,50,Tahap-0
01/09/2025,13,5,31,13:05:31,85,Tahap-0
01/09/2025,13,5,31,13:05:31,69,Tahap-0
01/09/2025,13,5,31,13:05:31,27,Tahap-0
01/09/2025,13,5,31,13:05:31,95,Tahap-0
01/09/2025,13,5,33,13:05:33,60,Tahap-0
01/09/2025,13,5,33,13:05:33,54,Tahap-0
01/09/2025,13,5,33,13:05:33,73,Tahap-0
