Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/23/2025,11,27,15,11:27:15,-12,Tahap-4
01/23/2025,11,27,15,11:27:15,-11,Tahap-4
01/23/2025,11,27,15,11:27:15,-14,Tahap-4
01/23/2025,11,27,15,11:27:15,-9,Tahap-4
01/23/2025,11,27,15,11:27:15,-15,Tahap-4
01/23/2025,11,27,15,11:27:15,-10,Tahap-4
01/23/2025,11,27,15,11:27:15,-11,Tahap-4
01/23/2025,11,27,15,11:27:15,-12,Tahap-4
01/23/2025,11,27,15,11:27:15,-11,Tahap-4
01/23/2025,11,27,15,11:27:15,-13,Tahap-4
01/23/2025,11,27,15,11:27:15,-14,Tahap-4
01/23/2025,11,27,15,11:27:15,-10,Tahap-4
01/23/2025,11,27,15,11:27:15,-13,Tahap-4
01/23/2025,11,27,15,11:27:15,-15,Tahap-4
01/23/2025,11,27,15,11:27:15,-11,Tahap-4
01/23/2025,11,27,15,11:27:15,-14,Tahap-4
01/23/2025,11,27,15,11:27:15,-10,Tahap-4
01/23/2025,11,27,15,11:27:15,-19,Tahap-4
01/23/2025,11,27,15,11:27:15,-14,Tahap-4
01/23/2025,11,27,15,11:27:15,-12,Tahap-4
01/23/2025,11,27,15,11:27:15,-12,Tahap-4
01/23/2025,11,27,15,11:27:15,-13,Tahap-4
01/23/2025,11,27,16,11:27:16,-15,Tahap-4
01/23/2025,11,27,16,11:27:16,-13,Tahap-4
01/23/2025,11,27,16,11:27:16,-15,Tahap-4
01/23/2025,11,27,16,11:27:16,-11,Tahap-4
01/23/2025,11,27,16,11:27:16,-18,Tahap-4
01/23/2025,11,27,16,11:27:16,-13,Tahap-4
01/23/2025,11,27,16,11:27:16,-14,Tahap-4
01/23/2025,11,27,16,11:27:16,-17,Tahap-4
01/23/2025,11,27,16,11:27:16,-16,Tahap-4
01/23/2025,11,27,16,11:27:16,-14,Tahap-4
01/23/2025,11,27,17,11:27:17,-14,Tahap-4
01/23/2025,11,27,17,11:27:17,-15,Tahap-4
01/23/2025,11,27,41,11:27:41,729,Tahap-4
01/23/2025,11,27,41,11:27:41,3384,Tahap-4
01/23/2025,11,27,41,11:27:41,1131,Tahap-4
01/23/2025,11,27,41,11:27:41,1165,Tahap-4
01/23/2025,11,27,41,11:27:41,790,Tahap-4
01/23/2025,11,27,42,11:27:42,681,Tahap-4
01/23/2025,11,27,42,11:27:42,495,Tahap-4
01/23/2025,11,27,42,11:27:42,628,Tahap-4
01/23/2025,11,27,42,11:27:42,364,Tahap-4
01/23/2025,11,27,42,11:27:42,456,Tahap-4
01/23/2025,11,27,42,11:27:42,98,Tahap-4
01/23/2025,11,27,42,11:27:42,397,Tahap-4
01/23/2025,11,27,42,11:27:42,189,Tahap-4
01/23/2025,11,27,42,11:27:42,248,Tahap-4
01/23/2025,11,27,42,11:27:42,144,Tahap-4
01/23/2025,11,27,43,11:27:43,201,Tahap-4
01/23/2025,11,27,43,11:27:43,188,Tahap-4
01/23/2025,11,27,43,11:27:43,166,Tahap-4
01/23/2025,11,27,43,11:27:43,252,Tahap-4
01/23/2025,11,27,43,11:27:43,301,Tahap-4
01/23/2025,11,27,43,11:27:43,256,Tahap-4
01/23/2025,11,27,43,11:27:43,629,Tahap-4
01/23/2025,11,27,44,11:27:44,140,Tahap-4
01/23/2025,11,27,44,11:27:44,428,Tahap-4
01/23/2025,11,27,44,11:27:44,287,Tahap-4
01/23/2025,11,27,44,11:27:44,157,Tahap-4
01/23/2025,11,27,44,11:27:44,162,Tahap-4
01/23/2025,11,27,44,11:27:44,119,Tahap-4
01/23/2025,11,27,44,11:27:44,62,Tahap-4
01/23/2025,11,27,44,11:27:44,82,Tahap-4
01/23/2025,11,27,44,11:27:44,48,Tahap-4
01/23/2025,11,27,44,11:27:44,130,Tahap-4
01/23/2025,11,27,44,11:27:44,107,Tahap-4
01/23/2025,11,27,44,11:27:44,223,Tahap-4
01/23/2025,11,27,44,11:27:44,191,Tahap-4
01/23/2025,11,27,45,11:27:45,146,Tahap-4
01/23/2025,11,27,45,11:27:45,148,Tahap-4
01/23/2025,11,27,45,11:27:45,89,Tahap-4
01/23/2025,11,27,45,11:27:45,67,Tahap-4
01/23/2025,11,27,45,11:27:45,130,Tahap-4
01/23/2025,11,27,45,11:27:45,196,Tahap-4
01/23/2025,11,27,45,11:27:45,430,Tahap-4
01/23/2025,11,27,45,11:27:45,249,Tahap-4
01/23/2025,11,27,45,11:27:45,211,Tahap-4
01/23/2025,11,27,45,11:27:45,138,Tahap-4
01/23/2025,11,27,46,11:27:46,162,Tahap-4
01/23/2025,11,27,46,11:27:46,144,Tahap-4
01/23/2025,11,27,46,11:27:46,124,Tahap-4
01/23/2025,11,27,46,11:27:46,180,Tahap-4
01/23/2025,11,27,46,11:27:46,107,Tahap-4
01/23/2025,11,27,46,11:27:46,17,Tahap-4
01/23/2025,11,27,46,11:27:46,53,Tahap-4
01/23/2025,11,27,46,11:27:46,99,Tahap-4
01/23/2025,11,27,46,11:27:46,83,Tahap-4
01/23/2025,11,27,46,11:27:46,81,Tahap-4
01/23/2025,11,27,47,11:27:47,147,Tahap-4
01/23/2025,11,27,47,11:27:47,138,Tahap-4
01/23/2025,11,27,47,11:27:47,99,Tahap-4
01/23/2025,11,27,47,11:27:47,24,Tahap-4
01/23/2025,11,27,47,11:27:47,69,Tahap-4
01/23/2025,11,27,47,11:27:47,46,Tahap-4
01/23/2025,11,27,47,11:27:47,156,Tahap-4
01/23/2025,11,27,47,11:27:47,45,Tahap-4
01/23/2025,11,27,47,11:27:47,175,Tahap-4
01/23/2025,11,27,47,11:27:47,468,Tahap-4
01/23/2025,11,27,48,11:27:48,116,Tahap-4
01/23/2025,11,27,48,11:27:48,232,Tahap-4
01/23/2025,11,27,48,11:27:48,572,Tahap-4
01/23/2025,11,27,48,11:27:48,166,Tahap-4
01/23/2025,11,27,48,11:27:48,885,Tahap-4
01/23/2025,11,27,48,11:27:48,671,Tahap-4
01/23/2025,11,27,48,11:27:48,402,Tahap-4
01/23/2025,11,27,48,11:27:48,209,Tahap-4
01/23/2025,11,27,48,11:27:48,230,Tahap-4
01/23/2025,11,27,48,11:27:48,57,Tahap-4
01/23/2025,11,27,49,11:27:49,223,Tahap-4
01/23/2025,11,27,49,11:27:49,87,Tahap-4
01/23/2025,11,27,49,11:27:49,63,Tahap-4
