Tanggal,Jam,Menit,Detik,Waktu,frekuensi,label
01/08/2025,13,54,5,13:54:05,6792,Tahap-0
01/08/2025,13,54,5,13:54:05,1824,Tahap-0
01/08/2025,13,54,5,13:54:05,2426,Tahap-0
01/08/2025,13,54,5,13:54:05,639,Tahap-0
01/08/2025,13,54,5,13:54:05,611,Tahap-0
01/08/2025,13,54,6,13:54:06,569,Tahap-0
01/08/2025,13,54,6,13:54:06,697,Tahap-0
01/08/2025,13,54,6,13:54:06,59,Tahap-0
01/08/2025,13,54,6,13:54:06,158,Tahap-0
01/08/2025,13,54,6,13:54:06,126,Tahap-0
01/08/2025,13,54,6,13:54:06,50,Tahap-0
01/08/2025,13,54,6,13:54:06,279,Tahap-0
01/08/2025,13,54,6,13:54:06,48,Tahap-0
01/08/2025,13,54,6,13:54:06,138,Tahap-0
01/08/2025,13,54,6,13:54:06,307,Tahap-0
01/08/2025,13,54,7,13:54:07,58,Tahap-0
01/08/2025,13,54,7,13:54:07,141,Tahap-0
01/08/2025,13,54,7,13:54:07,133,Tahap-0
01/08/2025,13,54,7,13:54:07,149,Tahap-0
01/08/2025,13,54,7,13:54:07,83,Tahap-0
01/08/2025,13,54,7,13:54:07,149,Tahap-0
01/08/2025,13,54,7,13:54:07,89,Tahap-0
01/08/2025,13,54,7,13:54:07,1103,Tahap-0
01/08/2025,13,54,7,13:54:07,151,Tahap-0
01/08/2025,13,54,7,13:54:07,75,Tahap-0
01/08/2025,13,54,8,13:54:08,23,Tahap-0
01/08/2025,13,54,8,13:54:08,140,Tahap-0
01/08/2025,13,54,8,13:54:08,58,Tahap-0
01/08/2025,13,54,8,13:54:08,88,Tahap-0
01/08/2025,13,54,8,13:54:08,21,Tahap-0
01/08/2025,13,54,8,13:54:08,78,Tahap-0
01/08/2025,13,54,8,13:54:08,80,Tahap-0
01/08/2025,13,54,8,13:54:08,78,Tahap-0
01/08/2025,13,54,8,13:54:08,128,Tahap-0
01/08/2025,13,54,8,13:54:08,51,Tahap-0
01/08/2025,13,54,9,13:54:09,3,Tahap-0
01/08/2025,13,54,9,13:54:09,25,Tahap-0
01/08/2025,13,54,9,13:54:09,98,Tahap-0
01/08/2025,13,54,9,13:54:09,85,Tahap-0
01/08/2025,13,54,9,13:54:09,60,Tahap-0
01/08/2025,13,54,9,13:54:09,32,Tahap-0
01/08/2025,13,54,9,13:54:09,168,Tahap-0
01/08/2025,13,54,9,13:54:09,47,Tahap-0
01/08/2025,13,54,9,13:54:09,96,Tahap-0
01/08/2025,13,54,9,13:54:09,168,Tahap-0
01/08/2025,13,54,10,13:54:10,220,Tahap-0
01/08/2025,13,54,10,13:54:10,175,Tahap-0
01/08/2025,13,54,10,13:54:10,66,Tahap-0
01/08/2025,13,54,10,13:54:10,31,Tahap-0
01/08/2025,13,54,10,13:54:10,109,Tahap-0
01/08/2025,13,54,10,13:54:10,54,Tahap-0
01/08/2025,13,54,10,13:54:10,51,Tahap-0
01/08/2025,13,54,10,13:54:10,79,Tahap-0
01/08/2025,13,54,10,13:54:10,93,Tahap-0
01/08/2025,13,54,10,13:54:10,78,Tahap-0
01/08/2025,13,54,11,13:54:11,30,Tahap-0
01/08/2025,13,54,11,13:54:11,60,Tahap-0
01/08/2025,13,54,11,13:54:11,89,Tahap-0
01/08/2025,13,54,11,13:54:11,61,Tahap-0
01/08/2025,13,54,11,13:54:11,13,Tahap-0
01/08/2025,13,54,11,13:54:11,115,Tahap-0
01/08/2025,13,54,11,13:54:11,42,Tahap-0
01/08/2025,13,54,11,13:54:11,203,Tahap-0
01/08/2025,13,54,11,13:54:11,249,Tahap-0
01/08/2025,13,54,11,13:54:11,51,Tahap-0
01/08/2025,13,54,12,13:54:12,262,Tahap-0
01/08/2025,13,54,12,13:54:12,693,Tahap-0
01/08/2025,13,54,12,13:54:12,727,Tahap-0
01/08/2025,13,54,12,13:54:12,530,Tahap-0
01/08/2025,13,54,12,13:54:12,418,Tahap-0
01/08/2025,13,54,12,13:54:12,258,Tahap-0
01/08/2025,13,54,12,13:54:12,119,Tahap-0
01/08/2025,13,54,12,13:54:12,107,Tahap-0
01/08/2025,13,54,12,13:54:12,85,Tahap-0
01/08/2025,13,54,12,13:54:12,130,Tahap-0
01/08/2025,13,54,13,13:54:13,94,Tahap-0
01/08/2025,13,54,13,13:54:13,171,Tahap-0
01/08/2025,13,54,13,13:54:13,65,Tahap-0
01/08/2025,13,54,13,13:54:13,70,Tahap-0
01/08/2025,13,54,13,13:54:13,117,Tahap-0
01/08/2025,13,54,13,13:54:13,19,Tahap-0
01/08/2025,13,54,13,13:54:13,37,Tahap-0
01/08/2025,13,54,13,13:54:13,273,Tahap-0
01/08/2025,13,54,13,13:54:13,312,Tahap-0
01/08/2025,13,54,13,13:54:13,500,Tahap-0
01/08/2025,13,54,14,13:54:14,193,Tahap-0
01/08/2025,13,54,14,13:54:14,356,Tahap-0
01/08/2025,13,54,14,13:54:14,369,Tahap-0
01/08/2025,13,54,14,13:54:14,173,Tahap-0
01/08/2025,13,54,14,13:54:14,463,Tahap-0
01/08/2025,13,54,14,13:54:14,536,Tahap-0
01/08/2025,13,54,14,13:54:14,161,Tahap-0
01/08/2025,13,54,14,13:54:14,242,Tahap-0
01/08/2025,13,54,14,13:54:14,356,Tahap-0
01/08/2025,13,54,14,13:54:14,211,Tahap-0
01/08/2025,13,54,15,13:54:15,191,Tahap-0
01/08/2025,13,54,15,13:54:15,159,Tahap-0
01/08/2025,13,54,15,13:54:15,134,Tahap-0
01/08/2025,13,54,15,13:54:15,178,Tahap-0
01/08/2025,13,54,15,13:54:15,303,Tahap-0
01/08/2025,13,54,15,13:54:15,191,Tahap-0
01/08/2025,13,54,15,13:54:15,53,Tahap-0
01/08/2025,13,54,15,13:54:15,61,Tahap-0
01/08/2025,13,54,15,13:54:15,82,Tahap-0
01/08/2025,13,54,15,13:54:15,61,Tahap-0
01/08/2025,13,54,16,13:54:16,42,Tahap-0
01/08/2025,13,54,16,13:54:16,166,Tahap-0
01/08/2025,13,54,16,13:54:16,152,Tahap-0
01/08/2025,13,54,16,13:54:16,109,Tahap-0
01/08/2025,13,54,16,13:54:16,336,Tahap-0
01/08/2025,13,54,16,13:54:16,102,Tahap-0
01/08/2025,13,54,16,13:54:16,347,Tahap-0
01/08/2025,13,54,16,13:54:16,671,Tahap-0
01/08/2025,13,54,16,13:54:16,739,Tahap-0
01/08/2025,13,54,16,13:54:16,293,Tahap-0
01/08/2025,13,54,17,13:54:17,345,Tahap-0
01/08/2025,13,54,17,13:54:17,361,Tahap-0
01/08/2025,13,54,17,13:54:17,95,Tahap-0
01/08/2025,13,54,17,13:54:17,249,Tahap-0
01/08/2025,13,54,17,13:54:17,383,Tahap-0
01/08/2025,13,54,17,13:54:17,138,Tahap-0
01/08/2025,13,54,17,13:54:17,112,Tahap-0
01/08/2025,13,54,17,13:54:17,342,Tahap-0
01/08/2025,13,54,17,13:54:17,516,Tahap-0
01/08/2025,13,54,17,13:54:17,225,Tahap-0
01/08/2025,13,54,18,13:54:18,711,Tahap-0
